ONS_Code,PCV_12m,PCV_24m,Population_12m,Population_24m,Year,Quarter,Timepoint,Vaccine_Schedule
E06000001,94.9152542372881,92.9460580912863,236,241,2019/2020,Q1,0,0
E06000002,93.7229437229437,91.9917864476386,462,487,2019/2020,Q1,0,0
E06000003,95.0769230769231,94.3502824858757,325,354,2019/2020,Q1,0,0
E06000004,96.8627450980392,94.636678200692,510,578,2019/2020,Q1,0,0
E06000005,94.9019607843137,94.5054945054945,255,273,2019/2020,Q1,0,0
E06000047,97.4089068825911,98.2800982800983,1235,1221,2019/2020,Q1,0,0
E08000021,93.7669376693767,93.3832709113608,738,801,2019/2020,Q1,0,0
E08000022,98.014440433213,96.3249516441006,554,517,2019/2020,Q1,0,0
E08000023,97.8947368421053,96.7901234567901,380,405,2019/2020,Q1,0,0
E08000024,98.4011627906977,96.5834428383706,688,761,2019/2020,Q1,0,0
E08000037,93.6475409836066,93.5424354243542,488,542,2019/2020,Q1,0,0
E06000057,96.5714285714286,94.4927536231884,700,690,2019/2020,Q1,0,0
E06000006,92.5531914893617,91.4529914529915,376,351,2019/2020,Q1,0,0
E06000007,97.212543554007,94.6107784431138,574,501,2019/2020,Q1,0,0
E06000008,94.4990176817289,91.3865546218487,509,476,2019/2020,Q1,0,0
E06000009,95.3883495145631,92.5064599483204,412,387,2019/2020,Q1,0,0
E06000049,94.4864864864865,91.4427860696517,925,1005,2019/2020,Q1,0,0
E06000050,91.5173237753883,90.929203539823,837,904,2019/2020,Q1,0,0
E08000001,93.7708565072303,91.358024691358,899,972,2019/2020,Q1,0,0
E08000002,,,,,2019/2020,Q1,0,0
E08000003,89.2913385826772,85.9110169491525,1905,1888,2019/2020,Q1,0,0
E08000004,95.2745849297573,92.1241050119332,783,838,2019/2020,Q1,0,0
E08000005,95.1111111111111,91.2863070539419,675,723,2019/2020,Q1,0,0
E08000006,91.9642857142857,91.7675544794189,784,826,2019/2020,Q1,0,0
E08000007,95.9490740740741,94.0968122786305,864,847,2019/2020,Q1,0,0
E08000008,92.8779069767442,89.7615708274895,688,713,2019/2020,Q1,0,0
E08000009,95.9349593495935,94.1358024691358,615,648,2019/2020,Q1,0,0
E08000010,95.3259532595326,93.6627282491944,813,931,2019/2020,Q1,0,0
E08000011,93.6,88.8278388278388,500,546,2019/2020,Q1,0,0
E08000012,90.0412087912088,89.7039030955586,1456,1486,2019/2020,Q1,0,0
E08000013,90.2390438247012,91.1417322834646,502,508,2019/2020,Q1,0,0
E08000014,89.7520661157025,89.7865853658537,605,656,2019/2020,Q1,0,0
E08000015,95.2267303102625,94.5093457943925,838,856,2019/2020,Q1,0,0
E10000006,95.8791208791209,96.2553191489362,1092,1175,2019/2020,Q1,0,0
E10000017,93.8760806916427,92.1027287319422,2776,3115,2019/2020,Q1,0,0
E06000010,94.026284348865,92.755214050494,837,911,2019/2020,Q1,0,0
E06000011,96.7514124293785,96.8705547652916,708,703,2019/2020,Q1,0,0
E06000012,95.4347826086957,94.6695095948827,460,469,2019/2020,Q1,0,0
E06000013,95.1219512195122,93.3184855233853,451,449,2019/2020,Q1,0,0
E06000014,94.7368421052632,92.6174496644295,475,447,2019/2020,Q1,0,0
E08000016,95.5862068965517,96.3513513513514,725,740,2019/2020,Q1,0,0
E08000017,91.6279069767442,89.0625,860,896,2019/2020,Q1,0,0
E08000018,95.3488372093023,96.0729312762973,688,713,2019/2020,Q1,0,0
E08000019,94.3943298969072,92.8658536585366,1552,1640,2019/2020,Q1,0,0
E08000032,92.3162583518931,90.4179408766565,1796,1962,2019/2020,Q1,0,0
E08000033,93.9236111111111,92.4874791318865,576,599,2019/2020,Q1,0,0
E08000034,93.9825811559778,93.8854489164087,1263,1292,2019/2020,Q1,0,0
E08000035,93.0505050505051,90.8560311284047,2475,2570,2019/2020,Q1,0,0
E08000036,96.9785575048733,94.1738299904489,1026,1047,2019/2020,Q1,0,0
E10000023,92.8571428571429,94.5205479452055,1274,1314,2019/2020,Q1,0,0
E06000015,93.0832356389215,89.4117647058824,853,850,2019/2020,Q1,0,0
E06000016,92.4300254452926,90.7510862818125,1572,1611,2019/2020,Q1,0,0
E06000017,95.7264957264957,91.1504424778761,117,113,2019/2020,Q1,0,0
E06000018,90.3128153380424,87.5478927203065,991,1044,2019/2020,Q1,0,0
E10000007,95.7127545551983,95.5008034279593,1866,1867,2019/2020,Q1,0,0
E10000018,96.9825754356141,95.9139784946237,2353,2325,2019/2020,Q1,0,0
