ONS_Code,Population_12m,PCV_12m,Population_24m,PCV_24m,Year,Quarter,Timepoint,Vaccine_Schedule
E06000001,229,95.1965065502183,238,95.7983193277311,2020/2021,Q1,0,1
E06000002,428,92.5233644859813,463,90.9287257019439,2020/2021,Q1,0,1
E06000003,333,94.8948948948949,322,95.3416149068323,2020/2021,Q1,0,1
E06000004,526,95.8174904942966,511,95.8904109589041,2020/2021,Q1,0,1
E06000005,244,96.3114754098361,261,95.4022988505747,2020/2021,Q1,0,1
E06000047,1163,97.7644024075666,1240,97.258064516129,2020/2021,Q1,0,1
E08000021,739,92.5575101488498,724,95.0276243093923,2020/2021,Q1,0,1
E08000022,573,98.2547993019197,555,97.4774774774775,2020/2021,Q1,0,1
E08000023,364,99.1758241758242,379,96.8337730870712,2020/2021,Q1,0,1
E08000024,597,99.1624790619766,632,98.1012658227848,2020/2021,Q1,0,1
E08000037,490,96.530612244898,467,92.9336188436831,2020/2021,Q1,0,1
E06000057,650,95.6923076923077,711,96.3431786216596,2020/2021,Q1,0,1
E06000006,373,94.1018766756032,383,91.644908616188,2020/2021,Q1,0,1
E06000007,539,97.4025974025974,579,94.300518134715,2020/2021,Q1,0,1
E06000008,525,93.1428571428571,564,90.0709219858156,2020/2021,Q1,0,1
E06000009,439,94.5330296127563,434,89.8617511520738,2020/2021,Q1,0,1
E06000049,928,95.1508620689655,965,94.7150259067358,2020/2021,Q1,0,1
E06000050,797,95.357590966123,829,93.7273823884198,2020/2021,Q1,0,1
E08000001,893,94.8488241881299,920,92.5,2020/2021,Q1,0,1
E08000002,494,95.9514170040486,535,87.4766355140187,2020/2021,Q1,0,1
E08000003,1744,90.1376146788991,1820,87.8571428571429,2020/2021,Q1,0,1
E08000004,781,94.8783610755442,785,93.5031847133758,2020/2021,Q1,0,1
E08000005,697,95.1219512195122,696,91.6666666666667,2020/2021,Q1,0,1
E08000006,834,90.7673860911271,781,88.7323943661972,2020/2021,Q1,0,1
E08000007,746,96.7828418230563,867,95.1557093425606,2020/2021,Q1,0,1
E08000008,716,95.5307262569833,708,93.361581920904,2020/2021,Q1,0,1
E08000009,623,96.3081861958266,617,93.517017828201,2020/2021,Q1,0,1
E08000010,873,95.8762886597938,828,93.9613526570048,2020/2021,Q1,0,1
E08000011,465,90.1075268817204,520,87.6923076923077,2020/2021,Q1,0,1
E08000012,1408,91.9744318181818,1533,86.2361382909328,2020/2021,Q1,0,1
E08000013,472,91.5254237288136,507,88.9546351084812,2020/2021,Q1,0,1
E08000014,652,92.0245398773006,611,89.1980360065467,2020/2021,Q1,0,1
E08000015,817,95.7160342717258,847,93.5064935064935,2020/2021,Q1,0,1
E10000006,1097,96.9006381039198,1095,96.8036529680365,2020/2021,Q1,0,1
E10000017,3061,92.6494609604704,2971,90.4072702793672,2020/2021,Q1,0,1
E06000010,843,92.8825622775801,839,94.1597139451728,2020/2021,Q1,0,1
E06000011,641,97.8159126365055,727,95.4607977991747,2020/2021,Q1,0,1
E06000012,414,94.6859903381642,461,96.0954446854664,2020/2021,Q1,0,1
E06000013,425,93.1764705882353,455,93.1868131868132,2020/2021,Q1,0,1
E06000014,426,96.7136150234742,481,95.010395010395,2020/2021,Q1,0,1
E08000016,689,96.2264150943396,706,94.7592067988668,2020/2021,Q1,0,1
E08000017,875,93.6,866,88.568129330254,2020/2021,Q1,0,1
E08000018,677,97.0457902511079,678,96.7551622418879,2020/2021,Q1,0,1
E08000019,1461,93.7029431895962,1562,93.5339308578745,2020/2021,Q1,0,1
E08000032,1844,92.2993492407809,1816,91.1894273127753,2020/2021,Q1,0,1
E08000033,501,92.0159680638723,570,92.280701754386,2020/2021,Q1,0,1
E08000034,1146,95.5497382198953,1259,93.9634630659253,2020/2021,Q1,0,1
E08000035,2329,92.5289823958781,2494,90.7778668805132,2020/2021,Q1,0,1
E08000036,982,94.5010183299389,1047,95.2244508118434,2020/2021,Q1,0,1
E10000023,1208,95.2814569536424,1316,92.9331306990882,2020/2021,Q1,0,1
E06000015,757,95.112285336856,859,91.2689173457509,2020/2021,Q1,0,1
E06000016,1159,93.9603106125971,1157,90.4926534140018,2020/2021,Q1,0,1
E06000017,73,97.2602739726027,85,97.6470588235294,2020/2021,Q1,0,1
E06000018,978,89.6728016359918,971,88.1565396498455,2020/2021,Q1,0,1
E10000007,1835,95.858310626703,1876,95.7356076759062,2020/2021,Q1,0,1
E10000018,1602,97.0661672908864,1767,96.9439728353141,2020/2021,Q1,0,1
E10000019,1759,93.0642410460489,1706,90.2696365767878,2020/2021,Q1,0,1
E10000021,2076,95.0867052023121,2214,92.5474254742547,2020/2021,Q1,0,1
E10000024,1962,95.4638124362895,1939,94.0175348117586,2020/2021,Q1,0,1
E06000019,438,92.9223744292237,414,92.2705314009662,2020/2021,Q1,0,1
E06000020,512,96.875,541,93.7153419593346,2020/2021,Q1,0,1
E06000021,826,94.6731234866828,825,93.2121212121212,2020/2021,Q1,0,1
E06000051,637,95.2904238618524,736,94.5652173913044,2020/2021,Q1,0,1
E08000025,3881,88.3019840247359,4041,87.3051224944321,2020/2021,Q1,0,1
E08000026,1034,92.6499032882012,1039,89.6053897978826,2020/2021,Q1,0,1
E08000027,880,95.7954545454546,968,94.9380165289256,2020/2021,Q1,0,1
E08000028,1090,92.0183486238532,1167,90.3170522707798,2020/2021,Q1,0,1
E08000029,587,93.015332197615,546,88.6446886446887,2020/2021,Q1,0,1
E08000030,868,93.5483870967742,939,91.9062832800852,2020/2021,Q1,0,1
E08000031,808,88.7376237623763,827,86.9407496977025,2020/2021,Q1,0,1
E10000028,2053,96.5903555772041,2170,94.6082949308756,2020/2021,Q1,0,1
E10000031,1512,94.8412698412698,1524,93.9632545931758,2020/2021,Q1,0,1
E10000034,1426,95.5820476858345,1470,94.0816326530612,2020/2021,Q1,0,1
E06000031,591,91.3705583756345,674,89.6142433234421,2020/2021,Q1,0,1
E06000032,851,91.186839012926,835,86.9461077844311,2020/2021,Q1,0,1
E06000033,511,93.7377690802349,533,93.9962476547842,2020/2021,Q1,0,1
E06000034,600,93.5,622,90.5144694533762,2020/2021,Q1,0,1
E06000055,512,95.1171875,532,93.2330827067669,2020/2021,Q1,0,1
E06000056,834,95.4436450839328,869,94.5914844649022,2020/2021,Q1,0,1
E10000003,1689,96.0331557134399,1746,94.2153493699885,2020/2021,Q1,0,1
E10000012,4000,94.8,4172,93.5043144774688,2020/2021,Q1,0,1
E10000015,3370,92.6112759643917,3539,91.6925685221814,2020/2021,Q1,0,1
E10000020,1996,95.7414829659319,2149,94.8348068869242,2020/2021,Q1,0,1
E10000029,1775,95.7183098591549,1875,94.24,2020/2021,Q1,0,1
E09000002,881,88.8762769580023,925,84.1081081081081,2020/2021,Q1,0,1
E09000003,1227,88.9160554197229,1270,84.3307086614173,2020/2021,Q1,0,1
E09000004,719,90.4033379694019,739,87.2801082543978,2020/2021,Q1,0,1
E09000005,1189,88.3936080740118,1082,82.5323475046211,2020/2021,Q1,0,1
E09000006,952,93.5924369747899,1001,87.6123876123876,2020/2021,Q1,0,1
E09000007,617,80.8752025931929,671,78.6885245901639,2020/2021,Q1,0,1
E09000008,1255,90.3585657370518,1350,82.2222222222222,2020/2021,Q1,0,1
E09000009,1289,91.155934833204,1153,82.4804856895056,2020/2021,Q1,0,1
E09000010,1084,90.4981549815498,1084,80.0738007380074,2020/2021,Q1,0,1
E09000011,1051,88.5823025689819,1064,83.7406015037594,2020/2021,Q1,0,1
E09000012,1047,73.2569245463228,1046,71.1281070745698,2020/2021,Q1,0,1
E09000013,564,87.0567375886525,547,79.5246800731262,2020/2021,Q1,0,1
E09000014,875,83.8857142857143,938,80.9168443496802,2020/2021,Q1,0,1
E09000015,872,86.2385321100918,914,82.7133479212254,2020/2021,Q1,0,1
E09000016,868,94.2396313364055,879,90.5574516496018,2020/2021,Q1,0,1
E09000017,922,91.1062906724512,1011,84.5697329376855,2020/2021,Q1,0,1
E09000018,962,90.7484407484408,982,80.7535641547861,2020/2021,Q1,0,1
E09000019,642,86.7601246105919,646,80.6501547987616,2020/2021,Q1,0,1
E09000020,565,81.9469026548673,548,76.4598540145985,2020/2021,Q1,0,1
E09000021,539,92.0222634508349,550,86.3636363636364,2020/2021,Q1,0,1
E09000022,1039,89.1241578440808,1021,80.9010773751224,2020/2021,Q1,0,1
E09000023,1066,88.9305816135084,1088,83.639705882353,2020/2021,Q1,0,1
E09000024,601,92.0133111480865,673,85.8841010401189,2020/2021,Q1,0,1
E09000025,1378,89.8403483309144,1371,85.5579868708972,2020/2021,Q1,0,1
E09000026,1069,88.8681010289991,1154,85.0953206239168,2020/2021,Q1,0,1
E09000027,550,92.1818181818182,597,86.7671691792295,2020/2021,Q1,0,1
E09000028,936,87.0726495726496,919,82.6985854189336,2020/2021,Q1,0,1
E09000029,625,93.92,610,90.4918032786885,2020/2021,Q1,0,1
E09000030,1040,91.6346153846154,1082,87.9852125693161,2020/2021,Q1,0,1
E09000031,1105,90.316742081448,1093,82.2506861848124,2020/2021,Q1,0,1
E09000032,1153,92.714657415438,1164,85.6529209621993,2020/2021,Q1,0,1
E09000033,473,83.5095137420719,472,74.7881355932204,2020/2021,Q1,0,1
E06000035,868,90.5529953917051,883,89.2412231030578,2020/2021,Q1,0,1
E06000036,345,97.9710144927536,371,95.6873315363882,2020/2021,Q1,0,1
E06000037,372,94.6236559139785,393,95.9287531806616,2020/2021,Q1,0,1
E06000038,637,93.2496075353218,673,92.1248142644874,2020/2021,Q1,0,1
E06000039,544,93.9338235294118,573,90.5759162303665,2020/2021,Q1,0,1
E06000040,398,95.4773869346734,421,93.5866983372922,2020/2021,Q1,0,1
E06000041,364,94.7802197802198,346,93.9306358381503,2020/2021,Q1,0,1
E06000042,905,96.5745856353591,866,92.378752886836,2020/2021,Q1,0,1
E06000043,556,92.9856115107914,648,91.6666666666667,2020/2021,Q1,0,1
E06000044,565,95.929203539823,604,94.205298013245,2020/2021,Q1,0,1
E06000045,707,94.7666195190948,803,94.7696139476962,2020/2021,Q1,0,1
E06000046,286,91.958041958042,271,88.929889298893,2020/2021,Q1,0,1
E10000002,1430,93.5664335664336,1558,93.9666238767651,2020/2021,Q1,0,1
E10000011,1208,93.9569536423841,1278,91.9405320813772,2020/2021,Q1,0,1
E10000014,3412,95.5158264947245,3454,97.7996525767226,2020/2021,Q1,0,1
