ONS_Code,UTLA_Name,Population_12m,PCV_12m,Population_24m,PCV_24m,Year,Quarter,Timepoint,Vaccine_Schedule
E06000001,Hartlepool,241,98.3402489626556,231,88.3116883116883,2021/2022,Q1,0,1
E06000002,Middlesbrough,419,94.5107398568019,440,88.6363636363637,2021/2022,Q1,0,1
E06000003,Redcar and Cleveland,300,97.3333333333333,338,91.7159763313609,2021/2022,Q1,0,1
E06000004,Stockton-on-Tees,525,97.1428571428572,538,95.1672862453532,2021/2022,Q1,0,1
E06000005,Darlington,273,94.8717948717949,250,91.6,2021/2022,Q1,0,1
E06000047,County Durham,1167,98.6289631533847,1198,97.8297161936561,2021/2022,Q1,0,1
E08000021,Newcastle upon Tyne,680,95.2941176470588,720,89.8611111111111,2021/2022,Q1,0,1
E08000022,North Tyneside,517,98.2591876208897,583,97.4271012006861,2021/2022,Q1,0,1
E08000023,South Tyneside,342,98.2456140350877,381,98.4251968503937,2021/2022,Q1,0,1
E08000024,Sunderland,603,99.5024875621891,635,98.2677165354331,2021/2022,Q1,0,1
E08000037,Gateshead,440,96.5909090909091,507,93.491124260355,2021/2022,Q1,0,1
E06000057,Northumberland,616,98.2142857142857,674,95.8456973293769,2021/2022,Q1,0,1
E06000006,Halton,298,95.9731543624161,366,92.0765027322405,2021/2022,Q1,0,1
E06000007,Warrington,488,95.4918032786885,539,95.7328385899815,2021/2022,Q1,0,1
E06000008,Blackburn with Darwen,500,91.2,537,88.4543761638734,2021/2022,Q1,0,1
E06000009,Blackpool,434,93.3179723502304,455,89.6703296703297,2021/2022,Q1,0,1
E06000049,Cheshire East,894,96.420581655481,958,93.0062630480167,2021/2022,Q1,0,1
E06000050,Cheshire West and Chester,776,96.6494845360825,834,94.0047961630695,2021/2022,Q1,0,1
E08000001,Bolton,913,95.0711938663746,875,93.1428571428571,2021/2022,Q1,0,1
E08000002,Bury,526,94.6768060836502,500,90.4,2021/2022,Q1,0,1
E08000003,Manchester,1692,93.0260047281324,1815,85.6749311294766,2021/2022,Q1,0,1
E08000004,Oldham,737,94.4369063772049,783,89.7828863346105,2021/2022,Q1,0,1
E08000005,Rochdale,693,93.2178932178932,721,92.0943134535368,2021/2022,Q1,0,1
E08000006,Salford,860,90.5813953488372,882,88.5487528344671,2021/2022,Q1,0,1
E08000007,Stockport,822,96.7153284671533,784,95.1530612244898,2021/2022,Q1,0,1
E08000008,Tameside,589,93.8879456706282,671,93.591654247392,2021/2022,Q1,0,1
E08000009,Trafford,574,94.9477351916376,650,93.6923076923077,2021/2022,Q1,0,1
E08000010,Wigan,795,96.8553459119497,880,94.6590909090909,2021/2022,Q1,0,1
E08000011,Knowsley,411,90.9975669099757,452,80.5309734513275,2021/2022,Q1,0,1
E08000012,Liverpool,1334,89.3553223388306,1429,84.8845346396081,2021/2022,Q1,0,1
E08000013,St. Helens,446,97.5336322869955,492,92.8861788617886,2021/2022,Q1,0,1
E08000014,Sefton,574,90.7665505226481,659,90.8952959028831,2021/2022,Q1,0,1
E08000015,Wirral,755,95.4966887417219,843,91.8149466192171,2021/2022,Q1,0,1
E10000006,Cumbria,995,96.9849246231156,1109,96.2128043282236,2021/2022,Q1,0,1
E10000017,Lancashire,2875,90.9565217391304,3097,88.5372941556345,2021/2022,Q1,0,1
E06000010,Kingston upon Hull,833,93.8775510204082,823,91.1300121506683,2021/2022,Q1,0,1
E06000011,East Riding of Yorkshire,600,98.1666666666667,656,96.7987804878049,2021/2022,Q1,0,1
E06000012,North East Lincolnshire,385,98.1818181818182,419,92.6014319809069,2021/2022,Q1,0,1
E06000013,North Lincolnshire,384,92.96875,435,87.816091954023,2021/2022,Q1,0,1
E06000014,York,430,97.4418604651163,418,92.822966507177,2021/2022,Q1,0,1
E08000016,Barnsley,636,97.7987421383648,696,96.1206896551724,2021/2022,Q1,0,1
E08000017,Doncaster,860,96.1627906976744,875,92,2021/2022,Q1,0,1
E08000018,Rotherham,646,98.297213622291,686,95.33527696793,2021/2022,Q1,0,1
E08000019,Sheffield,1461,95.0718685831622,1491,90.4091213950369,2021/2022,Q1,0,1
E08000032,Bradford,1699,93.8198940553267,1898,85.6691253951528,2021/2022,Q1,0,1
E08000033,Calderdale,526,93.7262357414449,492,89.0243902439025,2021/2022,Q1,0,1
E08000034,Kirklees,1160,94.4827586206897,1167,93.1448157669237,2021/2022,Q1,0,1
E08000035,Leeds,2238,93.5656836461126,2279,88.4598508117595,2021/2022,Q1,0,1
E08000036,Wakefield,963,96.5732087227414,987,94.7315096251267,2021/2022,Q1,0,1
E10000023,North Yorkshire,1218,96.2233169129721,1243,93.0812550281577,2021/2022,Q1,0,1
E06000015,Derby,775,94.8387096774194,767,89.5697522816167,2021/2022,Q1,0,1
E06000016,Leicester,1141,94.2156003505697,1174,89.6081771720613,2021/2022,Q1,0,1
E06000017,Rutland,80,97.5,78,96.1538461538462,2021/2022,Q1,0,1
E06000018,Nottingham,858,86.7132867132867,973,82.6310380267215,2021/2022,Q1,0,1
E10000007,Derbyshire,1705,97.4780058651026,1850,96.8108108108108,2021/2022,Q1,0,1
E10000018,Leicestershire,1614,97.3977695167286,1695,96.047197640118,2021/2022,Q1,0,1
E10000019,Lincolnshire,1680,95.5952380952381,1799,90.1612006670373,2021/2022,Q1,0,1
E10000024,Nottinghamshire,1876,96.2686567164179,2002,92.6573426573426,2021/2022,Q1,0,1
E06000019,Herefordshire,354,97.7401129943503,440,91.3636363636364,2021/2022,Q1,0,1
E06000020,Telford and Wrekin,476,95.7983193277311,521,92.3224568138196,2021/2022,Q1,0,1
E06000021,Stoke-on-Trent,768,95.9635416666667,820,92.3170731707317,2021/2022,Q1,0,1
E06000051,Shropshire,624,96.9551282051282,656,94.969512195122,2021/2022,Q1,0,1
E08000025,Birmingham,3742,90.0587920897916,3777,84.2732327243844,2021/2022,Q1,0,1
E08000026,Coventry,1050,92.952380952381,1094,89.7623400365631,2021/2022,Q1,0,1
E08000027,Dudley,872,97.5917431192661,890,93.8202247191011,2021/2022,Q1,0,1
E08000028,Sandwell,1087,92.4563017479301,1092,83.974358974359,2021/2022,Q1,0,1
E08000029,Solihull,549,96.7213114754098,601,88.6855241264559,2021/2022,Q1,0,1
E08000030,Walsall,837,93.5483870967742,891,87.317620650954,2021/2022,Q1,0,1
E08000031,Wolverhampton,788,92.7664974619289,836,85.5263157894737,2021/2022,Q1,0,1
E10000028,Staffordshire,2007,96.6616841056303,2118,93.6732766761095,2021/2022,Q1,0,1
E10000031,Warwickshire,1443,96.049896049896,1539,92.9824561403509,2021/2022,Q1,0,1
E10000034,Worcestershire,1306,96.1715160796325,1439,94.5100764419736,2021/2022,Q1,0,1
E06000031,Peterborough,642,89.40809969,646,86.3777089783282,2021/2022,Q1,0,1
E06000032,Luton,794,90.93198992,861,85.7142857142857,2021/2022,Q1,0,1
E06000033,Southend-on-Sea,506,92.68774704,517,90.9090909090909,2021/2022,Q1,0,1
E06000034,Thurrock,593,93.76053963,601,87.6871880199667,2021/2022,Q1,0,1
E06000055,Bedford,494,95.951417,523,90.6309751434035,2021/2022,Q1,0,1
E06000056,Central Bedfordshire,832,97.11538462,867,93.3102652825836,2021/2022,Q1,0,1
E10000003,Cambridgeshire,1613,96.46621203,1743,92.1399885255307,2021/2022,Q1,0,1
E10000012,Essex,3833,96.1648839,4108,93.2570593962999,2021/2022,Q1,0,1
E10000015,Hertfordshire,3242,95.92843924,3359,92.8252456088121,2021/2022,Q1,0,1
E10000020,Norfolk,1964,96.33401222,2028,93.6390532544379,2021/2022,Q1,0,1
E10000029,Suffolk,1677,96.72033393,1789,94.7456679709335,2021/2022,Q1,0,1
E09000002,Barking and Dagenham,865,86.242774566474,898,75.0556792873051,2021/2022,Q1,0,1
E09000003,Barnet,1213,87.7164056059357,1239,79.0960451977401,2021/2022,Q1,0,1
E09000004,Bexley,698,91.9770773638969,719,76.63421418637,2021/2022,Q1,0,1
E09000005,Brent,1110,88.8288288288288,1175,70.5531914893617,2021/2022,Q1,0,1
E09000006,Bromley,880,93.4090909090909,939,82.1086261980831,2021/2022,Q1,0,1
E09000007,Camden,586,84.3003412969283,616,69.4805194805195,2021/2022,Q1,0,1
E09000008,Croydon,1227,87.4490627546862,1231,80.5036555645817,2021/2022,Q1,0,1
E09000009,Ealing,1112,90.7374100719425,1266,77.9620853080569,2021/2022,Q1,0,1
E09000010,Enfield,979,88.5597548518897,1076,73.9776951672863,2021/2022,Q1,0,1
E09000011,Greenwich,930,88.8172043010753,997,64.3931795386159,2021/2022,Q1,0,1
E09000012,Hackney,1044,72.8927203065134,1014,66.4694280078896,2021/2022,Q1,0,1
E09000013,Hammersmith and Fulham,537,83.9851024208566,547,68.0073126142596,2021/2022,Q1,0,1
E09000014,Haringey,818,85.2078239608802,873,72.1649484536083,2021/2022,Q1,0,1
E09000015,Harrow,798,87.593984962406,844,67.4170616113744,2021/2022,Q1,0,1
E09000016,Havering,805,91.304347826087,885,87.7966101694915,2021/2022,Q1,0,1
E09000017,Hillingdon,893,90.03359462486,924,74.8917748917749,2021/2022,Q1,0,1
E09000018,Hounslow,911,89.1328210757409,964,74.5850622406639,2021/2022,Q1,0,1
E09000019,Islington,606,90.2640264026403,623,76.8860353130016,2021/2022,Q1,0,1
E09000020,Kensington and Chelsea,520,81.7307692307692,548,67.8832116788321,2021/2022,Q1,0,1
E09000021,Kingston upon Thames,539,94.8051948051948,545,86.4220183486239,2021/2022,Q1,0,1
E09000022,Lambeth,905,90.2762430939226,962,72.6611226611227,2021/2022,Q1,0,1
E09000023,Lewisham,968,90.3925619834711,1003,66.4007976071785,2021/2022,Q1,0,1
E09000024,Merton,630,90.7936507936508,604,84.9337748344371,2021/2022,Q1,0,1
E09000025,Newham,1381,86.1694424330196,1421,78.1140042223786,2021/2022,Q1,0,1
E09000026,Redbridge,1050,87.7142857142857,1103,80.9610154125113,2021/2022,Q1,0,1
E09000027,Richmond upon Thames,498,89.3574297188755,562,84.8754448398577,2021/2022,Q1,0,1
E09000028,Southwark,819,90.964590964591,864,77.8935185185185,2021/2022,Q1,0,1
E09000029,Sutton,555,94.0540540540541,609,88.5057471264368,2021/2022,Q1,0,1
E09000030,Tower Hamlets,1030,90.873786407767,1026,81.7738791423002,2021/2022,Q1,0,1
E09000031,Waltham Forest,1034,86.073500967118,1091,80.9349220898259,2021/2022,Q1,0,1
E09000032,Wandsworth,1005,89.8507462686567,1062,83.9924670433145,2021/2022,Q1,0,1
E09000033,Westminster,414,79.2270531400966,442,68.0995475113122,2021/2022,Q1,0,1
E06000035,Medway,927,92.6645091693636,890,88.0898876404494,2021/2022,Q1,0,1
E06000036,Bracknell Forest,379,93.9313984168866,350,94.8571428571429,2021/2022,Q1,0,1
E06000037,West Berkshire,337,96.4391691394659,374,94.3850267379679,2021/2022,Q1,0,1
E06000038,Reading,648,94.2901234567901,641,89.3915756630265,2021/2022,Q1,0,1
E06000039,Slough,577,93.4142114384749,552,88.4057971014493,2021/2022,Q1,0,1
E06000040,Windsor and Maidenhead,351,94.8717948717949,389,93.8303341902314,2021/2022,Q1,0,1
E06000041,Wokingham,362,96.9613259668508,375,94.4,2021/2022,Q1,0,1
E06000042,Milton Keynes,799,95.9949937421777,902,92.5720620842572,2021/2022,Q1,0,1
E06000043,Brighton and Hove,573,94.7643979057592,552,90.036231884058,2021/2022,Q1,0,1
E06000044,Portsmouth,577,91.1611785095321,564,98.5815602836879,2021/2022,Q1,0,1
E06000045,Southampton,686,94.6064139941691,664,96.5361445783133,2021/2022,Q1,0,1
E06000046,Isle of Wight,254,81.1023622047244,291,98.2817869415808,2021/2022,Q1,0,1
E10000011,East Sussex,1177,94.9022939677145,1238,90.7915993537964,2021/2022,Q1,0,1
E10000014,Hampshire,3285,96.0121765601218,3448,97.8248259860789,2021/2022,Q1,0,1
E10000016,Kent,4062,94.8301329394387,4224,89.7017045454546,2021/2022,Q1,0,1
E10000025,Oxfordshire,1772,97.1218961625282,1925,93.4025974025974,2021/2022,Q1,0,1
E10000030,Surrey,2884,91.8862690707351,3047,87.0364292746964,2021/2022,Q1,0,1
E10000032,West Sussex,2061,96.7491508976225,2120,93.6792452830189,2021/2022,Q1,0,1
E10000002,Buckinghamshire,1436,95.7520891364902,1467,92.9107021131561,2021/2022,Q1,0,1
E06000022,Bath and North East Somerset,452,94.2477876106195,463,96.7602591792657,2021/2022,Q1,0,1
E06000023,Bristol,1324,93.9577039274925,1361,89.3460690668626,2021/2022,Q1,0,1
E06000024,North Somerset,478,96.4435146443515,498,94.3775100401606,2021/2022,Q1,0,1
E06000025,South Gloucestershire,643,96.1119751166408,742,94.6091644204852,2021/2022,Q1,0,1
E06000026,Plymouth,635,97.6377952755906,686,96.2099125364432,2021/2022,Q1,0,1
E06000027,Torbay,260,95,306,94.1176470588235,2021/2022,Q1,0,1
E06000030,Swindon,574,96.5156794425087,691,92.4746743849493,2021/2022,Q1,0,1
E06000052,Cornwall,1188,94.4444444444444,1216,89.6381578947369,2021/2022,Q1,0,1
E06000054,Wiltshire,1079,96.7562557924004,1233,94.728304947283,2021/2022,Q1,0,1
E10000008,Devon,1575,97.1428571428572,1676,94.272076372315,2021/2022,Q1,0,1
E06000059,Dorset,626,,674,96.4391691394659,2021/2022,Q1,0,1
E10000013,Gloucestershire,1482,95.6140350877193,1618,94.3757725587145,2021/2022,Q1,0,1
E10000027,Somerset,1252,95.7667731629393,1334,93.6281859070465,2021/2022,Q1,0,1
E06000058,"Bournemouth, Christchurch and Poole",979,96.1184882533197,956,91.7364016736402,2021/2022,Q1,0,1
E06000001,Hartlepool,214,95.7943925233645,258,93.0232558139535,2021/2022,Q2,1,1
E06000002,Middlesbrough,476,93.6974789915966,476,87.1848739495798,2021/2022,Q2,1,1
E06000003,Redcar and Cleveland,273,98.9010989010989,349,95.4154727793696,2021/2022,Q2,1,1
E06000004,Stockton-on-Tees,499,97.1943887775551,555,95.8558558558559,2021/2022,Q2,1,1
E06000005,Darlington,267,97.752808988764,251,93.2270916334661,2021/2022,Q2,1,1
E06000047,County Durham,1285,98.2879377431907,1362,96.9162995594714,2021/2022,Q2,1,1
E08000021,Newcastle upon Tyne,763,94.6264744429882,755,90.4635761589404,2021/2022,Q2,1,1
E08000022,North Tyneside,505,97.4257425742574,546,96.5201465201465,2021/2022,Q2,1,1
E08000023,South Tyneside,379,99.2084432717678,396,97.2222222222222,2021/2022,Q2,1,1
