"ONS_Code","PCV_12m","PCV_24m","Population_12m","Population_24m","Year","Quarter","Timepoint","Vaccine_Schedule","UTLA_Name"
"E06000047",97.6,97.8,1498,1525,"2013/2014","Q2","1","0",NA
"E06000005",97.2,95.9,354,343,"2013/2014","Q2","1","0",NA
"E06000001",94.3,91.7,317,325,"2013/2014","Q2","1","0",NA
"E06000002",94,91.3,569,529,"2013/2014","Q2","1","0",NA
"E08000021",94.6,93.2,881,820,"2013/2014","Q2","1","0",NA
"E08000022",99.2,98.4,618,630,"2013/2014","Q2","1","0",NA
"E06000003",97,97.2,404,433,"2013/2014","Q2","1","0",NA
"E08000023",98.4,98,433,393,"2013/2014","Q2","1","0",NA
"E06000004",94.6,94.4,615,625,"2013/2014","Q2","1","0",NA
"E08000024",98.1,96.2,724,869,"2013/2014","Q2","1","0",NA
"E06000008",95.1,94.5,587,600,"2013/2014","Q2","1","0",NA
"E06000009",96.8,91.7,444,468,"2013/2014","Q2","1","0",NA
"E08000001",96.9,97.8,992,976,"2013/2014","Q2","1","0",NA
"E08000002",96.3,94.6,646,649,"2013/2014","Q2","1","0",NA
"E06000049",97,93.3,1051,1081,"2013/2014","Q2","1","0",NA
"E06000050",98.3,93.5,921,908,"2013/2014","Q2","1","0",NA
"E10000006",98.3,96.8,1265,1293,"2013/2014","Q2","1","0",NA
"E06000006",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E08000011",96.9,97.3,509,516,"2013/2014","Q2","1","0",NA
"E10000017",88.9,91.9,3374,3301,"2013/2014","Q2","1","0",NA
"E08000012",96.3,95.4,1491,1433,"2013/2014","Q2","1","0",NA
"E08000003",94.9,93.3,1915,1950,"2013/2014","Q2","1","0",NA
"E08000004",96.4,96.4,851,844,"2013/2014","Q2","1","0",NA
"E08000005",95.7,95.4,771,721,"2013/2014","Q2","1","0",NA
"E08000006",97.2,97.9,915,825,"2013/2014","Q2","1","0",NA
"E08000014",95.1,93.5,735,744,"2013/2014","Q2","1","0",NA
"E08000013",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E08000007",95.4,90.8,899,784,"2013/2014","Q2","1","0",NA
"E08000008",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E08000009",97.1,94.6,763,706,"2013/2014","Q2","1","0",NA
"E06000007",96.4,95.4,632,668,"2013/2014","Q2","1","0",NA
"E08000010",96.8,96.6,948,1018,"2013/2014","Q2","1","0",NA
"E08000015",96.1,94.3,974,996,"2013/2014","Q2","1","0",NA
"E08000016",96.7,96.7,814,824,"2013/2014","Q2","1","0",NA
"E08000032",94.3,95.7,2089,2164,"2013/2014","Q2","1","0",NA
"E08000033",95.3,95,770,701,"2013/2014","Q2","1","0",NA
"E08000017",96,93.6,970,1020,"2013/2014","Q2","1","0",NA
"E06000011",96.9,95.6,736,747,"2013/2014","Q2","1","0",NA
"E06000010",95.3,94.1,1009,973,"2013/2014","Q2","1","0",NA
"E08000034",97.1,97.8,1471,1395,"2013/2014","Q2","1","0",NA
"E08000035",95.9,95.7,2605,2603,"2013/2014","Q2","1","0",NA
"E06000012",97.8,97.4,503,535,"2013/2014","Q2","1","0",NA
"E06000013",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E10000023",95.5,95.2,1485,1535,"2013/2014","Q2","1","0",NA
"E08000018",96.8,94,792,786,"2013/2014","Q2","1","0",NA
"E08000019",94.9,90.7,1794,1753,"2013/2014","Q2","1","0",NA
"E08000036",97.4,95,1140,1030,"2013/2014","Q2","1","0",NA
"E06000014",94.5,94.2,577,607,"2013/2014","Q2","1","0",NA
"E06000015",94.3,93.9,1043,1056,"2013/2014","Q2","1","0",NA
"E10000007",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E06000016",97.9,97.6,1289,1362,"2013/2014","Q2","1","0",NA
"E10000018",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E10000019",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E10000021",97.9,97,2293,2357,"2013/2014","Q2","1","0",NA
"E06000018",92,93,1112,1111,"2013/2014","Q2","1","0",NA
"E10000024",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E06000017",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E08000025",91.7,89.4,4575,4435,"2013/2014","Q2","1","0",NA
"E08000026",96.2,95.4,1261,1178,"2013/2014","Q2","1","0",NA
"E08000027",97.8,97.8,996,914,"2013/2014","Q2","1","0",NA
"E06000019",95.9,94.2,483,496,"2013/2014","Q2","1","0",NA
"E08000028",93.9,93.5,1253,1256,"2013/2014","Q2","1","0",NA
"E06000051",96.7,98.5,752,721,"2013/2014","Q2","1","0",NA
"E08000029",95.7,95.2,622,688,"2013/2014","Q2","1","0",NA
"E10000028",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E06000021",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E06000020",96,97.2,596,618,"2013/2014","Q2","1","0",NA
"E08000030",96.8,98.7,869,851,"2013/2014","Q2","1","0",NA
"E10000031",98.7,99,1544,1526,"2013/2014","Q2","1","0",NA
"E08000031",94.5,91.6,925,903,"2013/2014","Q2","1","0",NA
"E10000034",95.5,94.5,1662,1617,"2013/2014","Q2","1","0",NA
"E06000055",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E10000003",93.9,90.4,1953,2023,"2013/2014","Q2","1","0",NA
"E06000056",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E10000012",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E10000015",97.1,95.7,3838,4003,"2013/2014","Q2","1","0",NA
"E06000032",94.8,91.5,910,882,"2013/2014","Q2","1","0",NA
"E10000020",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E06000031",93.3,91.9,808,777,"2013/2014","Q2","1","0",NA
"E06000033",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E10000029",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E06000034",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E09000002",88.4,87.6,1049,1023,"2013/2014","Q2","1","0",NA
"E09000003",93.3707344879947,78.2,866,1522,"2013/2014","Q2","1","0",NA
"E09000004",95.7,91.6,760,848,"2013/2014","Q2","1","0",NA
"E09000005",94.8,90.1,1295,1206,"2013/2014","Q2","1","0",NA
"E09000006",92.4,89.7,1098,1107,"2013/2014","Q2","1","0",NA
"E09000007",91.3,80.8,691,759,"2013/2014","Q2","1","0",NA
"E09000008",91.4,90.6,1481,1495,"2013/2014","Q2","1","0",NA
"E09000009",93.8,86.3,1597,1584,"2013/2014","Q2","1","0",NA
"E09000010",78,79.8,1281,1237,"2013/2014","Q2","1","0",NA
"E09000011",75.3,84.7,1252,1198,"2013/2014","Q2","1","0",NA
"E09000012",87.7,89.1,1129,1093,"2013/2014","Q2","1","0",NA
"E09000013",78.3,74.5,674,659,"2013/2014","Q2","1","0",NA
"E09000014",91.8,85.9,1065,1045,"2013/2014","Q2","1","0",NA
"E09000015",94,90,867,816,"2013/2014","Q2","1","0",NA
"E09000016",86.6,90.4,822,810,"2013/2014","Q2","1","0",NA
"E09000017",94.9,92.5,1128,1153,"2013/2014","Q2","1","0",NA
"E09000018",90.7,87.1,1174,1159,"2013/2014","Q2","1","0",NA
"E09000019",96.5,94.1,544,572,"2013/2014","Q2","1","0",NA
"E09000020",80.8,74.5,599,588,"2013/2014","Q2","1","0",NA
"E09000021",93.7,89.7,683,673,"2013/2014","Q2","1","0",NA
"E09000022",92.1,89.7,1209,1130,"2013/2014","Q2","1","0",NA
"E09000023",89.1,85.4,1271,1212,"2013/2014","Q2","1","0",NA
"E09000024",89,86.1,747,785,"2013/2014","Q2","1","0",NA
"E09000025",88.7,86.9,1608,1576,"2013/2014","Q2","1","0",NA
"E09000026",92.6,89,1236,1198,"2013/2014","Q2","1","0",NA
"E09000027",92.4,88.9,733,787,"2013/2014","Q2","1","0",NA
"E09000028",91.1,86.7,1241,1154,"2013/2014","Q2","1","0",NA
"E09000029",89,85.9,694,731,"2013/2014","Q2","1","0",NA
"E09000030",96,94.9,1233,1118,"2013/2014","Q2","1","0",NA
"E09000031",85.2,79.3,1270,1331,"2013/2014","Q2","1","0",NA
"E09000032",91.4,84,1434,1388,"2013/2014","Q2","1","0",NA
"E09000033",77.7,76.2,722,724,"2013/2014","Q2","1","0",NA
"E06000036",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E06000043",93.8,89.5,803,828,"2013/2014","Q2","1","0",NA
"E10000002",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E10000011",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E10000014",96,94,4048,4154,"2013/2014","Q2","1","0",NA
"E06000046",96.4,92.7,331,344,"2013/2014","Q2","1","0",NA
"E10000016",93.7,94.2,4494,4431,"2013/2014","Q2","1","0",NA
"E06000035",95.6,95.4,986,911,"2013/2014","Q2","1","0",NA
"E06000042",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E10000025",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E06000044",95.8,94.7,730,703,"2013/2014","Q2","1","0",NA
"E06000038",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E06000039",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E06000045",95.6,94.1,871,871,"2013/2014","Q2","1","0",NA
"E10000030",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E06000037",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E10000032",95.3,91.5,2340,2496,"2013/2014","Q2","1","0",NA
"E06000040",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E06000041",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E06000022",96.8,95.8,506,500,"2013/2014","Q2","1","0",NA
"E06000023",95.7,93.7,1661,1725,"2013/2014","Q2","1","0",NA
"E06000052",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E10000008",95,93.9,1990,1968,"2013/2014","Q2","1","0",NA
"E10000013",95.8,93.2,1742,1697,"2013/2014","Q2","1","0",NA
"E06000024",97.1,95.5,580,647,"2013/2014","Q2","1","0",NA
"E06000026",97.4,92.2,869,845,"2013/2014","Q2","1","0",NA
"E10000027",95.6,94.8,1479,1513,"2013/2014","Q2","1","0",NA
"E06000025",97.6,97.4,869,821,"2013/2014","Q2","1","0",NA
"E06000030",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q2","1","0",NA
"E06000027",97.1,94.9,378,372,"2013/2014","Q2","1","0",NA
"E06000054",96.7,95.8,1404,1487,"2013/2014","Q2","1","0",NA
"E08000037",96.2,94.4,546,572,"2013/2014","Q2","1","0",NA
"E06000057",96.1,94.8,883,796,"2013/2014","Q2","1","0",NA
"E06000059",97.6,94.7,908,965,"2013/2014","Q2","1","0",NA
"E06000047",98.0027548209366,99.0344827586207,1452,1450,"2013/2014","Q3","2","0",NA
"E06000005",95.7703927492447,98.159509202454,331,326,"2013/2014","Q3","2","0",NA
"E06000001",95.1672862453532,92.280701754386,269,285,"2013/2014","Q3","2","0",NA
"E06000002",94.7826086956522,92.4752475247525,575,505,"2013/2014","Q3","2","0",NA
"E08000021",95.7983193277311,96.3553530751709,833,878,"2013/2014","Q3","2","0",NA
"E08000022",98.4399375975039,97.5757575757576,641,660,"2013/2014","Q3","2","0",NA
"E06000003",95.3367875647669,94.9886104783599,386,439,"2013/2014","Q3","2","0",NA
"E08000023",98.3606557377049,98.663697104677,427,449,"2013/2014","Q3","2","0",NA
"E06000004",94.6273830155979,95.2153110047847,577,627,"2013/2014","Q3","2","0",NA
"E08000024",98.0952380952381,97.4698795180723,735,830,"2013/2014","Q3","2","0",NA
"E06000008",95.2380952380952,94.4353518821604,567,611,"2013/2014","Q3","2","0",NA
"E06000009",95.6018518518518,92.0430107526882,432,465,"2013/2014","Q3","2","0",NA
"E08000001",95.9752321981424,96.3451776649746,969,985,"2013/2014","Q3","2","0",NA
"E08000002",94.4530046224962,93.9882697947214,649,682,"2013/2014","Q3","2","0",NA
"E06000049",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E06000050",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
